Symptom,Disease,occurrence,Weightage
Fever,"Leukemia, Myeloid, Chronic-Phase",1,0.618937632
Fever,"Leukemia, Myelomonocytic, Chronic",2,1.237875265
Fever,"Pulmonary Disease, Chronic Obstructive",2,1.237875265
Fever,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,0.618937632
Fever,"Brain Damage, Chronic",9,5.570438691
Fever,"Hematoma, Subdural, Chronic",1,0.618937632
Fever,"Kidney Failure, Chronic",18,11.14087738
Fever,"Granulomatous Disease, Chronic",7,4.332563426
Fever of Unknown Origin,Erythema Chronicum Migrans,1,1.473154917
Fever of Unknown Origin,"Fatigue Syndrome, Chronic",3,4.41946475
Fever of Unknown Origin,"Leukemia, Lymphocytic, Chronic, B-Cell",8,11.78523933
Fever of Unknown Origin,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.946309833
Fever of Unknown Origin,"Kidney Failure, Chronic",6,8.8389295
Fever of Unknown Origin,"Granulomatous Disease, Chronic",3,4.41946475
Hypothermia,"Fatigue Syndrome, Chronic",1,1.945436215
Hypothermia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.945436215
Hypothermia,"Pulmonary Disease, Chronic Obstructive",1,1.945436215
Hypothermia,"Brain Damage, Chronic",7,13.61805351
Hypothermia,"Renal Insufficiency, Chronic",1,1.945436215
Hypothermia,"Kidney Failure, Chronic",4,7.781744862
Body Weight,"Fatigue Syndrome, Chronic",7,2.40091493
Body Weight,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",4,1.371951389
Body Weight,"Leukemia, Myeloid, Chronic-Phase",1,0.342987847
Body Weight,"Drug-Induced Liver Injury, Chronic",1,0.342987847
Body Weight,"Pancreatitis, Chronic",5,1.714939236
Body Weight,Chronic Periodontitis,2,0.685975694
Body Weight,"Pulmonary Disease, Chronic Obstructive",38,13.03353819
Body Weight,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,0.342987847
Body Weight,"Brain Damage, Chronic",15,5.144817707
Body Weight,"Brain Injury, Chronic",1,0.342987847
Body Weight,"Renal Insufficiency, Chronic",4,1.371951389
Body Weight,"Kidney Failure, Chronic",636,218.1402708
Body Weight,"Granulomatous Disease, Chronic",4,1.371951389
Body Weight,"Jaundice, Chronic Idiopathic",1,0.342987847
Birth Weight,Chronic Periodontitis,1,1.407130943
Birth Weight,"Pulmonary Disease, Chronic Obstructive",2,2.814261886
Birth Weight,"Brain Damage, Chronic",54,75.98507092
Birth Weight,"Kidney Failure, Chronic",10,14.07130943
Weight Gain,"Fatigue Syndrome, Chronic",1,1.486689741
Weight Gain,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.486689741
Weight Gain,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",4,5.946758963
Weight Gain,"Leukemia, Myeloid, Chronic-Phase",1,1.486689741
Weight Gain,"Drug-Induced Liver Injury, Chronic",1,1.486689741
Weight Gain,"Pancreatitis, Chronic",1,1.486689741
Weight Gain,"Pulmonary Disease, Chronic Obstructive",11,16.35358715
Weight Gain,"Renal Insufficiency, Chronic",2,2.973379481
Weight Gain,"Kidney Failure, Chronic",100,148.6689741
Weight Loss,"Leukemia, Lymphocytic, Chronic, B-Cell",2,2.000107423
Weight Loss,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",3,3.000161134
Weight Loss,"Pancreatitis, Chronic",6,6.000322268
Weight Loss,"Pulmonary Disease, Chronic Obstructive",55,55.00295413
Weight Loss,"Brain Damage, Chronic",2,2.000107423
Weight Loss,"Brain Injury, Chronic",1,1.000053711
Weight Loss,"Renal Insufficiency, Chronic",1,1.000053711
Weight Loss,"Kidney Failure, Chronic",50,50.00268557
Emaciation,"Pulmonary Disease, Chronic Obstructive",1,1.832640721
Emaciation,"Brain Damage, Chronic",1,1.832640721
Emaciation,"Kidney Failure, Chronic",2,3.665281443
Cachexia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.994724016
Cachexia,"Pancreatitis, Chronic",1,1.994724016
Cachexia,"Pulmonary Disease, Chronic Obstructive",48,95.74675276
Cachexia,"Renal Insufficiency, Chronic",1,1.994724016
Cachexia,"Kidney Failure, Chronic",24,47.87337638
Fetal Weight,"Brain Damage, Chronic",1,3.576668788
Overweight,"Fatigue Syndrome, Chronic",1,0.8238721
Overweight,"Leukemia, Lymphocytic, Chronic, B-Cell",1,0.8238721
Overweight,"Pulmonary Disease, Chronic Obstructive",10,8.238720996
Overweight,"Renal Insufficiency, Chronic",3,2.471616299
Overweight,"Kidney Failure, Chronic",16,13.18195359
Obesity,"Fatigue Syndrome, Chronic",6,4.99532191
Obesity,"Leukemia, Lymphocytic, Chronic, B-Cell",2,1.665107303
Obesity,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,1.665107303
Obesity,"Pancreatitis, Chronic",3,2.497660955
Obesity,Chronic Periodontitis,6,4.99532191
Obesity,"Pulmonary Disease, Chronic Obstructive",47,39.13002163
Obesity,"Brain Damage, Chronic",3,2.497660955
Obesity,"Brain Injury, Chronic",1,0.832553652
Obesity,"Renal Insufficiency, Chronic",18,14.98596573
Obesity,"Kidney Failure, Chronic",200,166.5107303
Obesity,"Granulomatous Disease, Chronic",1,0.832553652
"Obesity, Morbid","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.752939952
"Obesity, Morbid","Pulmonary Disease, Chronic Obstructive",3,5.258819857
"Obesity, Morbid","Renal Insufficiency, Chronic",2,3.505879905
"Obesity, Morbid","Kidney Failure, Chronic",18,31.55291914
Thinness,"Pulmonary Disease, Chronic Obstructive",15,40.05899415
Thinness,"Kidney Failure, Chronic",11,29.37659571
Thinness,"Granulomatous Disease, Chronic",1,2.67059961
"Cardiac Output, High","Kidney Failure, Chronic",3,11.50948172
"Cardiac Output, Low","Fatigue Syndrome, Chronic",1,2.14279565
"Cardiac Output, Low","Pulmonary Disease, Chronic Obstructive",6,12.8567739
"Cardiac Output, Low","Brain Damage, Chronic",1,2.14279565
"Cardiac Output, Low","Kidney Failure, Chronic",11,23.57075215
Chills,"Leukemia, Lymphocytic, Chronic, B-Cell",2,7.170358955
Chills,"Kidney Failure, Chronic",1,3.585179477
Cyanosis,"Leukemia, Lymphocytic, Chronic, B-Cell",2,3.486819175
Cyanosis,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,3.486819175
Cyanosis,"Brain Damage, Chronic",1,1.743409588
Cyanosis,"Kidney Failure, Chronic",3,5.230228763
Edema,"Leukemia, Lymphocytic, Chronic, B-Cell",4,2.383512376
Edema,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",19,11.32168379
Edema,"Leukemia, Myeloid, Chronic-Phase",1,0.595878094
Edema,"Pancreatitis, Chronic",2,1.191756188
Edema,Chronic Periodontitis,1,0.595878094
Edema,"Pulmonary Disease, Chronic Obstructive",8,4.767024753
Edema,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,0.595878094
Edema,"Brain Damage, Chronic",4,2.383512376
Edema,"Renal Insufficiency, Chronic",1,0.595878094
Edema,"Kidney Failure, Chronic",122,72.69712748
Edema,"Granulomatous Disease, Chronic",2,1.191756188
"Edema, Cardiac","Kidney Failure, Chronic",6,21.11423805
Hydrops Fetalis,"Leukemia, Myelomonocytic, Chronic",1,2.341000253
Hydrops Fetalis,"Brain Damage, Chronic",1,2.341000253
Hydrops Fetalis,"Granulomatous Disease, Chronic",1,2.341000253
Eye Manifestations,"Brain Damage, Chronic",1,1.507876974
Eye Manifestations,"Kidney Failure, Chronic",11,16.58664671
Eye Hemorrhage,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,2.752642033
Eye Hemorrhage,"Kidney Failure, Chronic",1,2.752642033
Fatigue,"Fatigue Syndrome, Chronic",163,185.4961443
Fatigue,"Leukemia, Lymphocytic, Chronic, B-Cell",15,17.07019733
Fatigue,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",9,10.2421184
Fatigue,"Leukemia, Myeloid, Chronic-Phase",1,1.138013156
Fatigue,"Leukemia, Myelomonocytic, Chronic",1,1.138013156
Fatigue,"Pulmonary Disease, Chronic Obstructive",42,47.79655253
Fatigue,"Multiple Sclerosis, Chronic Progressive",18,20.4842368
Fatigue,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",7,7.966092089
Fatigue,"Brain Damage, Chronic",4,4.552052622
Fatigue,"Brain Injury, Chronic",1,1.138013156
Fatigue,"Renal Insufficiency, Chronic",1,1.138013156
Fatigue,"Kidney Failure, Chronic",61,69.41880249
Mental Fatigue,"Fatigue Syndrome, Chronic",18,64.53323059
Mental Fatigue,"Brain Damage, Chronic",4,14.34071791
Fetal Distress,"Brain Damage, Chronic",14,36.23832294
Fetal Distress,"Kidney Failure, Chronic",1,2.588451638
Flushing,"Kidney Failure, Chronic",1,2.614012135
Heart Murmurs,"Kidney Failure, Chronic",10,23.63417131
Systolic Murmurs,"Kidney Failure, Chronic",1,4.913366208
Hot Flashes,"Kidney Failure, Chronic",1,3.40571099
Hypergammaglobulinemia,"Candidiasis, Chronic Mucocutaneous",2,3.358250327
Hypergammaglobulinemia,"Leukemia, Lymphocytic, Chronic, B-Cell",8,13.43300131
Hypergammaglobulinemia,"Leukemia, Myelomonocytic, Chronic",3,5.037375491
Hypergammaglobulinemia,"Pancreatitis, Chronic",1,1.679125164
Hypergammaglobulinemia,"Pulmonary Disease, Chronic Obstructive",1,1.679125164
Hypergammaglobulinemia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,3.358250327
Hypergammaglobulinemia,"Kidney Failure, Chronic",8,13.43300131
Hypergammaglobulinemia,"Granulomatous Disease, Chronic",3,5.037375491
Intermittent Claudication,"Renal Insufficiency, Chronic",1,2.218303202
Intermittent Claudication,"Kidney Failure, Chronic",3,6.654909606
Mobility Limitation,"Fatigue Syndrome, Chronic",1,2.763857103
Mobility Limitation,"Pulmonary Disease, Chronic Obstructive",3,8.29157131
Mobility Limitation,"Multiple Sclerosis, Chronic Progressive",1,2.763857103
Mobility Limitation,"Kidney Failure, Chronic",1,2.763857103
Neurologic Manifestations,"Brain Damage, Chronic",22,1.53871109
Neurologic Manifestations,"Kidney Failure, Chronic",39,2.727715114
Cerebrospinal Fluid Rhinorrhea,"Hematoma, Subdural, Chronic",2,5.354944978
Cerebrospinal Fluid Rhinorrhea,"Kidney Failure, Chronic",1,2.677472489
Decerebrate State,"Brain Damage, Chronic",10,29.4467603
Dyskinesias,"Fatigue Syndrome, Chronic",1,0.747952079
Dyskinesias,"Brain Damage, Chronic",2,1.495904157
Dyskinesias,"Brain Injury, Chronic",1,0.747952079
Dyskinesias,"Kidney Failure, Chronic",1,0.747952079
Ataxia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.219659713
Ataxia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.439319426
Ataxia,"Multiple Sclerosis, Chronic Progressive",1,1.219659713
Ataxia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",7,8.537617989
Ataxia,"Brain Damage, Chronic",15,18.29489569
Ataxia,"Kidney Failure, Chronic",3,3.658979138
Cerebellar Ataxia,"Brain Damage, Chronic",5,8.543928115
Cerebellar Ataxia,"Brain Injury, Chronic",1,1.708785623
Cerebellar Ataxia,"Kidney Failure, Chronic",2,3.417571246
Gait Ataxia,"Multiple Sclerosis, Chronic Progressive",1,2.802175968
Gait Ataxia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,5.604351935
Athetosis,"Brain Damage, Chronic",10,25.82162309
Athetosis,"Hematoma, Subdural, Chronic",1,2.582162309
Athetosis,"Kidney Failure, Chronic",2,5.164324619
Chorea,"Pulmonary Disease, Chronic Obstructive",1,1.992983371
Chorea,"Brain Damage, Chronic",4,7.971933485
Chorea,"Hematoma, Subdural, Chronic",2,3.985966743
Chorea,"Kidney Failure, Chronic",6,11.95790023
Dystonia,"Multiple Sclerosis, Chronic Progressive",3,4.608327101
Dystonia,"Brain Damage, Chronic",5,7.680545168
Dystonia,"Brain Injury, Chronic",2,3.072218067
Torticollis,"Brain Damage, Chronic",2,4.309981845
Hyperkinesis,"Fatigue Syndrome, Chronic",1,2.341000253
Hyperkinesis,"Brain Damage, Chronic",33,77.25300833
Hyperkinesis,"Kidney Failure, Chronic",1,2.341000253
Hypokinesia,"Multiple Sclerosis, Chronic Progressive",1,2.879293271
Hypokinesia,"Brain Damage, Chronic",1,2.879293271
Hypokinesia,"Kidney Failure, Chronic",1,2.879293271
Myoclonus,"Brain Damage, Chronic",9,15.97563782
Myoclonus,"Kidney Failure, Chronic",24,42.60170087
Psychomotor Agitation,"Fatigue Syndrome, Chronic",1,2.24256018
Psychomotor Agitation,"Brain Damage, Chronic",9,20.18304162
Psychomotor Agitation,"Kidney Failure, Chronic",2,4.485120359
"Akathisia, Drug-Induced","Brain Damage, Chronic",1,3.110911449
Tremor,"Fatigue Syndrome, Chronic",1,1.739352787
Tremor,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.739352787
Tremor,"Pulmonary Disease, Chronic Obstructive",1,1.739352787
Tremor,"Multiple Sclerosis, Chronic Progressive",2,3.478705574
Tremor,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,3.478705574
Tremor,"Brain Damage, Chronic",4,6.957411147
Tremor,"Kidney Failure, Chronic",3,5.21805836
"Gait Disorders, Neurologic","Fatigue Syndrome, Chronic",1,1.74476552
"Gait Disorders, Neurologic","Leukemia, Lymphocytic, Chronic, B-Cell",1,1.74476552
"Gait Disorders, Neurologic","Pulmonary Disease, Chronic Obstructive",2,3.48953104
"Gait Disorders, Neurologic","Multiple Sclerosis, Chronic Progressive",4,6.97906208
"Gait Disorders, Neurologic","Brain Damage, Chronic",1,1.74476552
"Gait Disorders, Neurologic","Brain Injury, Chronic",1,1.74476552
Meningism,Erythema Chronicum Migrans,1,3.074353854
Neurobehavioral Manifestations,"Fatigue Syndrome, Chronic",2,0.741516006
Apraxias,"Multiple Sclerosis, Chronic Progressive",1,2.383774069
Apraxias,"Brain Damage, Chronic",82,195.4694736
Apraxias,"Kidney Failure, Chronic",2,4.767548137
Alien Hand Syndrome,"Brain Damage, Chronic",1,5.639303211
Catatonia,"Brain Damage, Chronic",3,8.105719543
Communication Disorders,"Brain Damage, Chronic",5,4.942612569
Communication Disorders,"Brain Injury, Chronic",1,0.988522514
Language Disorders,"Fatigue Syndrome, Chronic",1,1.077736663
Language Disorders,"Multiple Sclerosis, Chronic Progressive",1,1.077736663
Language Disorders,"Brain Damage, Chronic",55,59.27551644
Language Disorders,"Brain Injury, Chronic",1,1.077736663
Language Disorders,"Kidney Failure, Chronic",2,2.155473325
Agraphia,"Brain Damage, Chronic",22,73.70310504
Anomia,"Multiple Sclerosis, Chronic Progressive",1,3.420099727
Anomia,"Brain Damage, Chronic",74,253.0873798
Anomia,"Brain Injury, Chronic",1,3.420099727
Dyslexia,"Fatigue Syndrome, Chronic",1,2.677472489
Dyslexia,"Brain Damage, Chronic",35,93.71153712
"Dyslexia, Acquired","Brain Damage, Chronic",41,144.2806267
"Dyslexia, Acquired","Brain Injury, Chronic",2,7.03807935
Language Development Disorders,"Brain Damage, Chronic",54,134.2746282
Language Development Disorders,"Kidney Failure, Chronic",1,2.486567189
Speech Disorders,"Multiple Sclerosis, Chronic Progressive",2,2.305833122
Speech Disorders,"Brain Damage, Chronic",52,59.95166117
Speech Disorders,"Brain Injury, Chronic",1,1.152916561
Speech Disorders,"Kidney Failure, Chronic",5,5.764582805
Aphasia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.810661815
Aphasia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.810661815
Aphasia,"Brain Damage, Chronic",259,468.96141
Aphasia,"Brain Injury, Chronic",5,9.053309073
Aphasia,"Kidney Failure, Chronic",2,3.621323629
"Aphasia, Broca","Brain Damage, Chronic",44,136.8801038
"Aphasia, Wernicke","Brain Damage, Chronic",32,111.8503407
Articulation Disorders,"Brain Damage, Chronic",10,18.87448958
Dysarthria,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,2.026585118
Dysarthria,"Multiple Sclerosis, Chronic Progressive",4,8.106340471
Dysarthria,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,2.026585118
Dysarthria,"Brain Damage, Chronic",19,38.50511724
Dysarthria,"Brain Injury, Chronic",1,2.026585118
Dysarthria,"Kidney Failure, Chronic",2,4.053170236
Dysarthria,"Leukemia, Neutrophilic, Chronic",1,2.026585118
Echolalia,"Brain Damage, Chronic",3,13.4284572
Mutism,"Brain Damage, Chronic",9,26.30163055
Mutism,"Kidney Failure, Chronic",1,2.922403395
Stuttering,"Brain Damage, Chronic",8,26.58778313
Stuttering,"Kidney Failure, Chronic",1,3.323472891
Learning Disorders,"Fatigue Syndrome, Chronic",3,5.205937132
Learning Disorders,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.735312377
Learning Disorders,"Brain Damage, Chronic",214,371.3568487
Learning Disorders,"Brain Injury, Chronic",4,6.941249509
Learning Disorders,"Renal Insufficiency, Chronic",1,1.735312377
Learning Disorders,"Kidney Failure, Chronic",3,5.205937132
Confusion,"Fatigue Syndrome, Chronic",2,3.017896423
Confusion,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.508948211
Confusion,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.508948211
Confusion,"Pulmonary Disease, Chronic Obstructive",3,4.526844634
Confusion,"Brain Damage, Chronic",10,15.08948211
Confusion,"Hematoma, Subdural, Chronic",2,3.017896423
Confusion,"Kidney Failure, Chronic",14,21.12527496
Delirium,"Pulmonary Disease, Chronic Obstructive",1,2.08395515
Delirium,"Brain Damage, Chronic",6,12.5037309
Delirium,"Brain Injury, Chronic",1,2.08395515
Delirium,"Hematoma, Subdural, Chronic",1,2.08395515
Delirium,"Kidney Failure, Chronic",10,20.8395515
Consciousness Disorders,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,1.754258552
Consciousness Disorders,"Leukemia, Myeloid, Chronic-Phase",1,0.877129276
Consciousness Disorders,"Pulmonary Disease, Chronic Obstructive",2,1.754258552
Consciousness Disorders,"Brain Damage, Chronic",12,10.52555131
Consciousness Disorders,"Brain Injury, Chronic",1,0.877129276
Consciousness Disorders,"Hematoma, Subdural, Chronic",5,4.385646381
Consciousness Disorders,"Kidney Failure, Chronic",13,11.40268059
Unconsciousness,"Brain Damage, Chronic",13,12.06364678
Unconsciousness,"Kidney Failure, Chronic",3,2.783918488
Coma,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.624169626
Coma,"Pulmonary Disease, Chronic Obstructive",1,1.312084813
Coma,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.312084813
Coma,"Brain Damage, Chronic",98,128.5843117
Coma,"Brain Injury, Chronic",2,2.624169626
Coma,"Kidney Failure, Chronic",26,34.11420513
Persistent Vegetative State,"Brain Damage, Chronic",14,43.33111978
Persistent Vegetative State,"Brain Injury, Chronic",2,6.190159968
Stupor,"Pulmonary Disease, Chronic Obstructive",1,4.850845851
Syncope,"Fatigue Syndrome, Chronic",9,13.41802285
Syncope,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.490891428
Syncope,"Pulmonary Disease, Chronic Obstructive",1,1.490891428
Syncope,"Kidney Failure, Chronic",5,7.454457138
"Syncope, Vasovagal","Fatigue Syndrome, Chronic",7,22.27797207
"Syncope, Vasovagal","Hematoma, Subdural, Chronic",1,3.182567438
"Syncope, Vasovagal","Kidney Failure, Chronic",1,3.182567438
Lethargy,"Kidney Failure, Chronic",1,3.495323148
Memory Disorders,"Fatigue Syndrome, Chronic",20,29.35995215
Memory Disorders,"Leukemia, Myelomonocytic, Chronic",1,1.467997608
Memory Disorders,"Pulmonary Disease, Chronic Obstructive",1,1.467997608
Memory Disorders,"Multiple Sclerosis, Chronic Progressive",8,11.74398086
Memory Disorders,"Brain Damage, Chronic",78,114.5038134
Memory Disorders,"Brain Injury, Chronic",9,13.21197847
Memory Disorders,"Hematoma, Subdural, Chronic",1,1.467997608
Memory Disorders,"Renal Insufficiency, Chronic",1,1.467997608
Memory Disorders,"Kidney Failure, Chronic",4,5.871990431
Amnesia,"Brain Damage, Chronic",170,369.1526441
Amnesia,"Brain Injury, Chronic",9,19.54337528
"Amnesia, Anterograde","Brain Damage, Chronic",7,28.49481105
"Amnesia, Retrograde","Brain Damage, Chronic",20,67.97187043
"Amnesia, Transient Global","Brain Damage, Chronic",1,4.09885817
Korsakoff Syndrome,"Brain Damage, Chronic",5,20.14932649
Korsakoff Syndrome,"Hematoma, Subdural, Chronic",1,4.029865299
Mental Retardation,"Pancreatitis, Chronic",1,0.905446684
Mental Retardation,"Brain Damage, Chronic",243,220.0235442
Mental Retardation,"Brain Injury, Chronic",5,4.52723342
Mental Retardation,"Renal Insufficiency, Chronic",1,0.905446684
Mental Retardation,"Kidney Failure, Chronic",28,25.35250715
Mental Retardation,"Granulomatous Disease, Chronic",2,1.810893368
Perceptual Disorders,"Fatigue Syndrome, Chronic",2,2.772114732
Perceptual Disorders,"Multiple Sclerosis, Chronic Progressive",1,1.386057366
Perceptual Disorders,"Brain Damage, Chronic",121,167.7129413
Perceptual Disorders,"Brain Injury, Chronic",3,4.158172099
Perceptual Disorders,"Hematoma, Subdural, Chronic",1,1.386057366
Perceptual Disorders,"Kidney Failure, Chronic",1,1.386057366
Agnosia,"Brain Damage, Chronic",86,218.114268
Agnosia,"Brain Injury, Chronic",1,2.536212419
Gerstmann Syndrome,"Brain Damage, Chronic",1,3.990644585
Prosopagnosia,"Brain Damage, Chronic",3,12.61265606
Prosopagnosia,"Hematoma, Subdural, Chronic",1,4.204218686
Auditory Perceptual Disorders,"Fatigue Syndrome, Chronic",1,3.143346725
Auditory Perceptual Disorders,"Brain Damage, Chronic",11,34.57681398
Auditory Perceptual Disorders,"Brain Injury, Chronic",2,6.28669345
Auditory Perceptual Disorders,"Kidney Failure, Chronic",1,3.143346725
Hallucinations,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.723288184
Hallucinations,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.723288184
Hallucinations,"Multiple Sclerosis, Chronic Progressive",1,1.723288184
Hallucinations,"Brain Damage, Chronic",14,24.12603458
Hallucinations,"Brain Injury, Chronic",1,1.723288184
Hallucinations,"Kidney Failure, Chronic",12,20.67945821
Illusions,"Brain Damage, Chronic",10,30.8985804
Phantom Limb,"Brain Damage, Chronic",3,9.688078799
Psychomotor Disorders,"Fatigue Syndrome, Chronic",6,7.98984595
Psychomotor Disorders,"Pulmonary Disease, Chronic Obstructive",1,1.331640992
Psychomotor Disorders,"Brain Damage, Chronic",93,123.8426122
Psychomotor Disorders,"Brain Injury, Chronic",2,2.663281983
Psychomotor Disorders,"Hematoma, Subdural, Chronic",1,1.331640992
Psychomotor Disorders,"Kidney Failure, Chronic",2,2.663281983
"Apraxia, Ideomotor","Brain Damage, Chronic",1,4.113246908
Fasciculation,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,6.148707707
Muscle Cramp,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,4.485120359
Muscle Cramp,"Leukemia, Myeloid, Chronic-Phase",1,2.24256018
Muscle Cramp,"Kidney Failure, Chronic",19,42.60864341
Muscle Hypertonia,"Brain Damage, Chronic",2,2.960840255
Muscle Hypertonia,"Kidney Failure, Chronic",1,1.480420128
Muscle Rigidity,"Pulmonary Disease, Chronic Obstructive",1,2.401932804
Muscle Rigidity,"Brain Damage, Chronic",1,2.401932804
Muscle Rigidity,"Kidney Failure, Chronic",1,2.401932804
Muscle Spasticity,"Multiple Sclerosis, Chronic Progressive",5,8.636401028
Muscle Spasticity,"Brain Damage, Chronic",17,29.3637635
Muscle Spasticity,"Brain Injury, Chronic",2,3.454560411
Muscle Spasticity,"Kidney Failure, Chronic",2,3.454560411
Muscle Hypotonia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.656511135
Muscle Hypotonia,"Pulmonary Disease, Chronic Obstructive",1,1.656511135
Muscle Hypotonia,"Brain Damage, Chronic",8,13.25208908
Muscle Hypotonia,"Kidney Failure, Chronic",8,13.25208908
Muscle Weakness,"Fatigue Syndrome, Chronic",10,9.929910817
Muscle Weakness,"Leukemia, Lymphocytic, Chronic, B-Cell",4,3.971964327
Muscle Weakness,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,0.992991082
Muscle Weakness,"Leukemia, Myelomonocytic, Chronic",1,0.992991082
Muscle Weakness,"Pulmonary Disease, Chronic Obstructive",47,46.67058084
Muscle Weakness,"Multiple Sclerosis, Chronic Progressive",1,0.992991082
Muscle Weakness,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",36,35.74767894
Muscle Weakness,"Brain Damage, Chronic",10,9.929910817
Muscle Weakness,"Brain Injury, Chronic",4,3.971964327
Muscle Weakness,"Hematoma, Subdural, Chronic",8,7.943928654
Muscle Weakness,"Kidney Failure, Chronic",17,16.88084839
Muscle Weakness,"Granulomatous Disease, Chronic",2,1.985982163
Muscular Atrophy,"Fatigue Syndrome, Chronic",2,2.921643539
Muscular Atrophy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.46082177
Muscular Atrophy,"Pulmonary Disease, Chronic Obstructive",44,64.27615786
Muscular Atrophy,"Multiple Sclerosis, Chronic Progressive",1,1.46082177
Muscular Atrophy,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",4,5.843287078
Muscular Atrophy,"Brain Damage, Chronic",1,1.46082177
Muscular Atrophy,"Renal Insufficiency, Chronic",3,4.382465309
Muscular Atrophy,"Kidney Failure, Chronic",44,64.27615786
Sarcopenia,"Pulmonary Disease, Chronic Obstructive",3,14.29150342
Sarcopenia,"Kidney Failure, Chronic",3,14.29150342
Myokymia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,8.19771634
Spasm,"Fatigue Syndrome, Chronic",1,1.367277472
Spasm,"Brain Damage, Chronic",6,8.203664829
Spasm,"Renal Insufficiency, Chronic",1,1.367277472
Spasm,"Kidney Failure, Chronic",4,5.469109886
Trismus,"Kidney Failure, Chronic",1,2.597960426
Tetany,"Kidney Failure, Chronic",5,11.90603337
Orthostatic Intolerance,"Fatigue Syndrome, Chronic",3,15.63557759
Pain,Erythema Chronicum Migrans,1,0.329386709
Pain,"Fatigue Syndrome, Chronic",75,24.70400315
Pain,"Leukemia, Lymphocytic, Chronic, B-Cell",9,2.964480378
Pain,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",11,3.623253795
Pain,"Pancreatitis, Chronic",59,19.43381581
Pain,"Pulmonary Disease, Chronic Obstructive",7,2.30570696
Pain,"Multiple Sclerosis, Chronic Progressive",6,1.976320252
Pain,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",4,1.317546835
Pain,"Brain Damage, Chronic",6,1.976320252
Pain,"Brain Injury, Chronic",1,0.329386709
Pain,"Renal Insufficiency, Chronic",3,0.988160126
Pain,"Kidney Failure, Chronic",118,38.86763162
Pain,"Granulomatous Disease, Chronic",1,0.329386709
Pain,"Jaundice, Chronic Idiopathic",2,0.658773417
Back Pain,"Fatigue Syndrome, Chronic",3,3.440785558
Back Pain,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.146928519
Back Pain,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.146928519
Back Pain,"Brain Injury, Chronic",1,1.146928519
Back Pain,"Hematoma, Subdural, Chronic",1,1.146928519
Back Pain,"Kidney Failure, Chronic",4,4.587714077
Low Back Pain,"Fatigue Syndrome, Chronic",2,3.180842046
